order_id,picked_up_time,delivered_time,actual_delivery_mins
ORD_00032,2024-02-08 15:03:00,2024-02-08 15:46:00,43.0
ORD_00033,2024-01-06 10:18:00,2024-01-06 10:35:00,17.0
ORD_00034,2024-02-20 17:52:00,2024-02-20 18:04:00,12.0
ORD_00035,2024-01-30 13:44:00,2024-01-30 14:05:00,21.0
ORD_00036,2024-02-11 10:04:00,2024-02-11 10:36:00,32.0
ORD_00037,2024-01-10 14:04:00,2024-01-10 14:19:00,15.0
ORD_00038,2024-01-13 09:13:00,2024-01-13 09:37:00,24.0
ORD_00039,2024-01-01 11:30:00,2024-01-01 11:51:00,21.0
ORD_00040,2024-02-20 14:51:00,2024-02-20 15:16:00,25.0
ORD_00041,2024-02-28 14:30:00,2024-02-28 15:07:00,37.0
ORD_00042,2024-02-16 12:26:00,2024-02-16 12:55:00,29.0
ORD_00043,2024-02-05 18:29:00,2024-02-05 18:49:00,20.0
ORD_00044,2024-02-02 12:39:00,2024-02-02 13:01:00,22.0
ORD_00045,2024-02-18 13:12:00,2024-02-18 14:34:00,82.0
ORD_00046,2024-01-04 12:31:00,2024-01-04 12:50:00,19.0
ORD_00047,2024-01-24 10:28:00,2024-01-24 10:56:00,28.0
ORD_00048,2024-01-29 18:51:00,2024-01-29 19:09:00,18.0
ORD_00049,2024-01-19 15:35:00,2024-01-19 16:41:00,66.0
ORD_00050,2024-01-02 13:55:00,2024-01-02 14:46:00,51.0
ORD_00051,2024-01-04 17:12:00,2024-01-04 18:10:00,58.0
ORD_00052,2024-01-04 09:59:00,2024-01-04 10:29:00,30.0
ORD_00053,2024-01-27 14:53:00,2024-01-27 16:02:00,69.0
ORD_00054,2024-01-21 12:41:00,2024-01-21 12:59:00,18.0
ORD_00055,2024-01-06 15:58:00,2024-01-06 16:37:00,39.0
ORD_00056,2024-02-16 16:45:00,2024-02-16 17:01:00,16.0
ORD_00057,2024-01-21 14:30:00,2024-01-21 14:53:00,23.0
ORD_00058,2024-02-11 17:27:00,2024-02-11 17:43:00,16.0
ORD_00059,2024-02-19 14:13:00,2024-02-19 14:26:00,13.0
ORD_00060,2024-02-20 10:16:00,2024-02-20 11:14:00,58.0
ORD_00061,2024-01-23 15:04:00,2024-01-23 15:24:00,20.0
ORD_00062,2024-01-27 14:28:00,2024-01-27 14:43:00,15.0
ORD_00063,2024-01-08 13:40:00,2024-01-08 14:34:00,54.0
ORD_00064,2024-01-21 14:55:00,2024-01-21 15:14:00,19.0
ORD_00065,2024-01-27 16:22:00,2024-01-27 17:01:00,39.0
ORD_00066,2024-01-08 09:14:00,2024-01-08 09:56:00,42.0
ORD_00067,2024-01-31 16:27:00,2024-01-31 16:50:00,23.0
ORD_00068,2024-02-07 18:00:00,2024-02-07 18:47:00,47.0
ORD_00069,2024-02-23 12:22:00,2024-02-23 12:47:00,25.0
ORD_00070,2024-01-17 15:41:00,2024-01-17 16:06:00,25.0
ORD_00071,2024-02-10 09:23:00,2024-02-10 09:37:00,14.0
ORD_00072,2024-01-18 09:53:00,2024-01-18 11:05:00,72.0
ORD_00073,2024-02-18 15:04:00,2024-02-18 15:22:00,18.0
ORD_00074,2024-01-26 10:00:00,2024-01-26 10:11:00,11.0
ORD_00075,2024-01-09 14:53:00,2024-01-09 15:19:00,26.0
ORD_00076,2024-02-09 09:16:00,2024-02-09 09:54:00,38.0
ORD_00077,2024-01-17 09:56:00,2024-01-17 10:08:00,12.0
ORD_00078,2024-01-11 12:24:00,2024-01-11 13:02:00,38.0
ORD_00079,2024-01-06 09:00:00,2024-01-06 09:52:00,52.0
ORD_00080,2024-02-05 12:47:00,2024-02-05 12:58:00,11.0
ORD_00081,2024-02-02 11:49:00,2024-02-02 11:59:00,10.0
ORD_00082,2024-02-08 09:56:00,2024-02-08 10:18:00,22.0
ORD_00083,2024-02-14 17:56:00,2024-02-14 18:17:00,21.0
ORD_00084,2024-01-13 10:05:00,2024-01-13 10:31:00,26.0
ORD_00085,2024-01-03 10:19:00,2024-01-03 10:42:00,23.0
ORD_00086,2024-02-11 12:46:00,2024-02-11 13:32:00,46.0
ORD_00087,2024-02-17 15:41:00,2024-02-17 16:13:00,32.0
ORD_00088,2024-01-28 13:43:00,2024-01-28 14:08:00,25.0
ORD_00089,2024-01-02 18:33:00,2024-01-02 19:27:00,54.0
ORD_00090,2024-01-17 09:25:00,2024-01-17 10:15:00,50.0
ORD_00091,2024-01-01 16:25:00,2024-01-01 16:52:00,27.0
ORD_00092,2024-01-16 17:31:00,2024-01-16 17:50:00,19.0
ORD_00093,2024-02-28 15:58:00,2024-02-28 16:21:00,23.0
ORD_00094,2024-01-13 13:00:00,2024-01-13 13:23:00,23.0
ORD_00095,2024-02-18 11:22:00,2024-02-18 11:41:00,19.0
ORD_00096,2024-02-13 13:36:00,2024-02-13 14:08:00,32.0
ORD_00097,2024-02-15 11:13:00,2024-02-15 11:36:00,23.0
ORD_00098,2024-01-17 15:04:00,2024-01-17 15:28:00,24.0
ORD_00099,2024-01-09 11:07:00,2024-01-09 11:28:00,21.0
ORD_00100,2024-01-30 16:08:00,2024-01-30 16:25:00,17.0
ORD_00101,2024-01-14 13:11:00,2024-01-14 13:37:00,26.0
ORD_00102,2024-02-24 12:22:00,2024-02-24 12:44:00,22.0
ORD_00103,2024-02-27 10:16:00,2024-02-27 10:56:00,40.0
ORD_00104,2024-02-23 10:32:00,2024-02-23 10:55:00,23.0
ORD_00105,2024-02-05 15:27:00,2024-02-05 16:08:00,41.0
ORD_00106,2024-01-12 12:57:00,2024-01-12 13:12:00,15.0
ORD_00107,2024-02-16 10:01:00,2024-02-16 10:14:00,13.0
ORD_00108,2024-02-20 15:17:00,2024-02-20 15:33:00,16.0
ORD_00109,2024-02-23 11:46:00,2024-02-23 11:58:00,12.0
ORD_00110,2024-01-19 14:31:00,2024-01-19 14:55:00,24.0
ORD_00111,2024-02-19 09:27:00,2024-02-19 09:53:00,26.0
ORD_00112,2024-02-15 15:43:00,2024-02-15 16:07:00,24.0
ORD_00113,2024-01-11 17:40:00,2024-01-11 18:06:00,26.0
ORD_00114,2024-01-22 13:13:00,2024-01-22 13:28:00,15.0
ORD_00115,2024-02-04 18:33:00,2024-02-04 19:06:00,33.0
ORD_00116,2024-02-16 11:32:00,2024-02-16 11:44:00,12.0
ORD_00117,2024-01-24 10:52:00,2024-01-24 11:06:00,14.0
ORD_00118,2024-01-20 12:50:00,2024-01-20 13:04:00,14.0
ORD_00119,2024-02-08 18:30:00,2024-02-08 19:43:00,73.0
ORD_00120,2024-02-19 18:45:00,2024-02-19 19:24:00,39.0
ORD_00121,2024-01-01 15:36:00,2024-01-01 17:00:00,84.0
ORD_00122,2024-01-03 14:43:00,2024-01-03 15:11:00,28.0
ORD_00123,2024-02-26 15:17:00,2024-02-26 15:44:00,27.0
ORD_00124,2024-02-18 09:42:00,2024-02-18 10:06:00,24.0
ORD_00125,2024-02-05 18:56:00,2024-02-05 19:08:00,12.0
ORD_00126,2024-01-14 10:47:00,2024-01-14 11:14:00,27.0
ORD_00127,2024-01-12 12:42:00,2024-01-12 12:58:00,16.0
ORD_00128,2024-02-24 13:30:00,2024-02-24 13:41:00,11.0
ORD_00129,2024-02-19 17:19:00,2024-02-19 18:14:00,55.0
ORD_00130,2024-01-15 12:53:00,2024-01-15 13:15:00,22.0
ORD_00131,2024-01-27 09:41:00,2024-01-27 10:00:00,19.0
ORD_00132,2024-01-08 11:40:00,2024-01-08 11:59:00,19.0
ORD_00133,2024-02-12 17:18:00,2024-02-12 18:24:00,66.0
ORD_00134,2024-01-17 12:23:00,2024-01-17 13:02:00,39.0
ORD_00135,2024-01-27 12:39:00,2024-01-27 13:25:00,46.0
ORD_00136,2024-02-08 17:25:00,2024-02-08 18:16:00,51.0
ORD_00137,2024-01-26 13:21:00,2024-01-26 13:43:00,22.0
ORD_00138,2024-01-09 16:09:00,2024-01-09 16:21:00,12.0
ORD_00139,2024-02-12 13:40:00,2024-02-12 14:13:00,33.0
ORD_00140,2024-01-14 15:26:00,2024-01-14 15:45:00,19.0
ORD_00141,2024-01-18 10:02:00,2024-01-18 10:51:00,49.0
ORD_00142,2024-01-23 11:22:00,2024-01-23 12:14:00,52.0
ORD_00143,2024-01-14 10:02:00,2024-01-14 10:17:00,15.0
ORD_00144,2024-01-20 09:06:00,2024-01-20 09:36:00,30.0
ORD_00145,2024-01-05 09:05:00,2024-01-05 09:20:00,15.0
ORD_00146,2024-02-02 09:26:00,2024-02-02 09:50:00,24.0
ORD_00147,2024-02-20 18:16:00,2024-02-20 18:37:00,21.0
ORD_00148,2024-02-10 12:34:00,2024-02-10 13:01:00,27.0
ORD_00149,2024-01-23 11:57:00,2024-01-23 12:18:00,21.0
ORD_00150,2024-01-26 11:27:00,2024-01-26 11:52:00,25.0
ORD_00151,2024-01-30 10:50:00,2024-01-30 11:23:00,33.0
ORD_00152,2024-01-03 12:18:00,2024-01-03 12:49:00,31.0
ORD_00153,2024-02-20 18:14:00,2024-02-20 18:29:00,15.0
ORD_00154,2024-01-14 13:19:00,2024-01-14 13:54:00,35.0
ORD_00155,2024-02-05 09:52:00,2024-02-05 10:08:00,16.0
ORD_00156,2024-01-24 13:56:00,2024-01-24 15:12:00,76.0
ORD_00157,2024-01-30 14:06:00,2024-01-30 14:23:00,17.0
ORD_00158,2024-02-10 13:10:00,2024-02-10 13:33:00,23.0
ORD_00159,2024-02-03 15:08:00,2024-02-03 15:21:00,13.0
ORD_00160,2024-01-09 09:19:00,2024-01-09 10:04:00,45.0
ORD_00161,2024-01-05 17:08:00,2024-01-05 17:19:00,11.0
ORD_00162,2024-02-09 16:58:00,2024-02-09 17:28:00,30.0
ORD_00163,2024-01-19 12:06:00,2024-01-19 12:30:00,24.0
ORD_00164,2024-02-06 10:34:00,2024-02-06 10:50:00,16.0
ORD_00165,2024-01-22 11:31:00,2024-01-22 12:26:00,55.0
ORD_00166,2024-01-14 14:19:00,2024-01-14 14:42:00,23.0
ORD_00167,2024-01-19 13:00:00,2024-01-19 13:23:00,23.0
ORD_00168,2024-01-11 11:25:00,2024-01-11 12:03:00,38.0
ORD_00169,2024-02-21 15:42:00,2024-02-21 16:38:00,56.0
ORD_00170,2024-02-16 14:28:00,2024-02-16 14:41:00,13.0
ORD_00171,2024-01-28 17:33:00,2024-01-28 17:57:00,24.0
ORD_00172,2024-01-27 11:30:00,2024-01-27 12:22:00,52.0
ORD_00173,2024-01-28 17:48:00,2024-01-28 17:59:00,11.0
ORD_00174,2024-01-08 13:09:00,2024-01-08 14:19:00,70.0
ORD_00175,2024-01-21 10:08:00,2024-01-21 11:29:00,81.0
ORD_00176,2024-01-09 14:53:00,2024-01-09 15:18:00,25.0
ORD_00177,2024-01-23 16:04:00,2024-01-23 16:27:00,23.0
ORD_00178,2024-01-08 14:16:00,2024-01-08 14:35:00,19.0
ORD_00179,2024-01-11 17:50:00,2024-01-11 18:16:00,26.0
ORD_00180,2024-02-24 14:43:00,2024-02-24 15:24:00,41.0
ORD_00181,2024-01-24 11:27:00,2024-01-24 12:06:00,39.0
ORD_00182,2024-02-27 18:45:00,2024-02-27 19:48:00,63.0
ORD_00183,2024-01-10 11:48:00,2024-01-10 12:14:00,26.0
ORD_00184,2024-01-05 15:13:00,2024-01-05 15:36:00,23.0
ORD_00185,2024-01-28 10:53:00,2024-01-28 11:07:00,14.0
ORD_00186,2024-02-25 13:01:00,2024-02-25 13:29:00,28.0
ORD_00187,2024-01-21 09:05:00,2024-01-21 09:28:00,23.0
ORD_00188,2024-01-27 09:29:00,2024-01-27 10:26:00,57.0
ORD_00189,2024-01-07 10:33:00,2024-01-07 10:52:00,19.0
ORD_00190,2024-02-01 12:30:00,2024-02-01 12:44:00,14.0
ORD_00191,2024-02-08 16:51:00,2024-02-08 17:04:00,13.0
ORD_00192,2024-02-06 11:59:00,2024-02-06 13:04:00,65.0
ORD_00193,2024-01-16 11:12:00,2024-01-16 11:32:00,20.0
ORD_00194,2024-01-22 15:30:00,2024-01-22 15:46:00,16.0
ORD_00195,2024-02-06 15:06:00,2024-02-06 16:16:00,70.0
ORD_00196,2024-02-24 16:49:00,2024-02-24 18:25:00,96.0
ORD_00197,2024-02-22 18:47:00,2024-02-22 19:17:00,30.0
ORD_00198,2024-01-29 13:42:00,2024-01-29 14:11:00,29.0
ORD_00199,2024-02-16 12:59:00,2024-02-16 14:22:00,83.0
ORD_00200,2024-01-10 12:33:00,2024-01-10 12:47:00,14.0
ORD_00201,2024-01-01 14:11:00,2024-01-01 14:38:00,27.0
ORD_00202,2024-02-04 11:20:00,2024-02-04 12:11:00,51.0
ORD_00203,2024-01-16 17:49:00,2024-01-16 19:18:00,89.0
ORD_00204,2024-01-29 12:57:00,2024-01-29 13:24:00,27.0
ORD_00205,2024-01-13 13:46:00,2024-01-13 14:02:00,16.0
ORD_00206,2024-02-21 15:09:00,2024-02-21 15:46:00,37.0
ORD_00207,2024-02-04 11:13:00,2024-02-04 11:40:00,27.0
ORD_00208,2024-02-22 18:59:00,2024-02-22 19:17:00,18.0
ORD_00209,2024-02-21 15:35:00,2024-02-21 16:19:00,44.0
ORD_00210,2024-01-01 11:13:00,2024-01-01 11:28:00,15.0
ORD_00211,2024-01-15 17:14:00,2024-01-15 18:03:00,49.0
ORD_00212,2024-02-10 18:58:00,2024-02-10 19:13:00,15.0
ORD_00213,2024-01-28 15:32:00,2024-01-28 15:56:00,24.0
ORD_00214,2024-02-17 10:32:00,2024-02-17 11:01:00,29.0
ORD_00215,2024-01-14 13:28:00,2024-01-14 13:41:00,13.0
ORD_00216,2024-01-04 10:51:00,2024-01-04 11:12:00,21.0
ORD_00217,2024-02-10 17:43:00,2024-02-10 18:02:00,19.0
ORD_00218,2024-02-17 09:51:00,2024-02-17 10:18:00,27.0
ORD_00219,2024-02-08 13:47:00,2024-02-08 14:22:00,35.0
ORD_00220,2024-01-24 15:52:00,2024-01-24 16:42:00,50.0
ORD_00221,2024-02-10 14:55:00,2024-02-10 15:08:00,13.0
ORD_00222,2024-02-10 13:15:00,2024-02-10 13:32:00,17.0
ORD_00223,2024-02-04 18:39:00,2024-02-04 18:54:00,15.0
ORD_00224,2024-02-22 14:24:00,2024-02-22 15:32:00,68.0
ORD_00225,2024-02-08 18:24:00,2024-02-08 18:45:00,21.0
ORD_00226,2024-02-02 12:42:00,2024-02-02 12:58:00,16.0
ORD_00227,2024-01-24 13:44:00,2024-01-24 13:59:00,15.0
ORD_00228,2024-01-17 13:01:00,2024-01-17 13:23:00,22.0
ORD_00229,2024-01-10 15:09:00,2024-01-10 15:26:00,17.0
ORD_00230,2024-01-03 14:07:00,2024-01-03 14:31:00,24.0
ORD_00231,2024-01-03 12:29:00,2024-01-03 12:45:00,16.0
ORD_00232,2024-01-28 17:19:00,2024-01-28 17:40:00,21.0
ORD_00233,2024-01-24 14:36:00,2024-01-24 14:51:00,15.0
ORD_00234,2024-01-21 15:16:00,2024-01-21 15:36:00,20.0
ORD_00235,2024-01-18 09:28:00,2024-01-18 09:48:00,20.0
ORD_00236,2024-01-07 15:32:00,2024-01-07 15:44:00,12.0
ORD_00237,2024-01-25 13:29:00,2024-01-25 13:52:00,23.0
ORD_00238,2024-01-27 14:22:00,2024-01-27 14:34:00,12.0
ORD_00239,2024-01-30 12:10:00,2024-01-30 12:31:00,21.0
ORD_00240,2024-01-05 14:51:00,2024-01-05 15:05:00,14.0
ORD_00241,2024-02-02 09:18:00,2024-02-02 10:32:00,74.0
ORD_00242,2024-02-04 15:39:00,2024-02-04 15:53:00,14.0
ORD_00243,2024-01-11 12:31:00,2024-01-11 13:37:00,66.0
ORD_00244,2024-02-01 09:07:00,2024-02-01 09:55:00,48.0
ORD_00245,2024-02-23 13:10:00,2024-02-23 14:04:00,54.0
ORD_00246,2024-01-04 17:18:00,2024-01-04 17:43:00,25.0
ORD_00247,2024-01-27 17:46:00,2024-01-27 18:24:00,38.0
ORD_00248,2024-01-05 10:56:00,2024-01-05 11:41:00,45.0
ORD_00249,2024-02-05 16:19:00,2024-02-05 16:37:00,18.0
ORD_00250,2024-01-23 17:47:00,2024-01-23 18:28:00,41.0
ORD_00251,2024-02-02 18:56:00,2024-02-02 19:24:00,28.0
ORD_00252,2024-01-20 16:31:00,2024-01-20 17:11:00,40.0
ORD_00253,2024-02-02 09:56:00,2024-02-02 11:13:00,77.0
ORD_00254,2024-01-13 11:22:00,2024-01-13 11:55:00,33.0
ORD_00255,2024-01-13 14:25:00,2024-01-13 14:36:00,11.0
ORD_00256,2024-02-14 18:25:00,2024-02-14 18:48:00,23.0
ORD_00257,2024-02-21 11:56:00,2024-02-21 12:23:00,27.0
ORD_00258,2024-01-14 09:26:00,2024-01-14 09:49:00,23.0
ORD_00259,2024-02-19 10:34:00,2024-02-19 10:59:00,25.0
ORD_00260,2024-01-08 13:52:00,2024-01-08 14:19:00,27.0
ORD_00261,2024-01-01 11:21:00,2024-01-01 11:40:00,19.0
ORD_00262,2024-01-28 14:07:00,2024-01-28 14:24:00,17.0
ORD_00263,2024-02-28 18:29:00,2024-02-28 18:52:00,23.0
ORD_00264,2024-02-21 09:15:00,2024-02-21 09:26:00,11.0
ORD_00265,2024-02-23 13:41:00,2024-02-23 14:24:00,43.0
ORD_00266,2024-02-18 11:57:00,2024-02-18 13:13:00,76.0
ORD_00267,2024-01-10 12:36:00,2024-01-10 13:10:00,34.0
ORD_00268,2024-02-08 15:18:00,2024-02-08 15:30:00,12.0
ORD_00269,2024-02-12 14:09:00,2024-02-12 14:32:00,23.0
ORD_00270,2024-01-29 09:28:00,2024-01-29 10:03:00,35.0
ORD_00271,2024-01-29 16:52:00,2024-01-29 17:39:00,47.0
ORD_00272,2024-01-23 13:27:00,2024-01-23 14:14:00,47.0
ORD_00273,2024-02-22 15:49:00,2024-02-22 16:04:00,15.0
ORD_00274,2024-01-30 11:05:00,2024-01-30 11:25:00,20.0
ORD_00275,2024-01-26 15:23:00,2024-01-26 16:05:00,42.0
ORD_00276,2024-01-05 11:16:00,2024-01-05 11:58:00,42.0
ORD_00277,2024-02-23 13:15:00,2024-02-23 13:27:00,12.0
ORD_00278,2024-01-13 11:21:00,2024-01-13 11:34:00,13.0
ORD_00279,2024-02-05 10:56:00,2024-02-05 11:31:00,35.0
ORD_00280,2024-01-28 10:35:00,2024-01-28 10:50:00,15.0
ORD_00281,2024-02-19 15:32:00,2024-02-19 16:38:00,66.0
ORD_00282,2024-01-21 12:50:00,2024-01-21 13:15:00,25.0
ORD_00283,2024-02-14 18:11:00,2024-02-14 18:24:00,13.0
ORD_00284,2024-01-16 10:21:00,2024-01-16 10:37:00,16.0
ORD_00285,2024-01-16 16:13:00,2024-01-16 16:33:00,20.0
ORD_00286,2024-02-14 11:50:00,2024-02-14 12:18:00,28.0
ORD_00287,2024-02-05 10:22:00,2024-02-05 10:37:00,15.0
ORD_00288,2024-02-13 18:17:00,2024-02-13 18:37:00,20.0
ORD_00289,2024-02-15 16:02:00,2024-02-15 16:12:00,10.0
ORD_00290,2024-01-06 11:55:00,2024-01-06 12:09:00,14.0
ORD_00291,2024-01-19 14:42:00,2024-01-19 15:04:00,22.0
ORD_00292,2024-01-28 09:55:00,2024-01-28 10:18:00,23.0
ORD_00293,2024-02-15 16:31:00,2024-02-15 16:57:00,26.0
ORD_00294,2024-01-07 17:39:00,2024-01-07 18:29:00,50.0
ORD_00295,2024-02-27 15:16:00,2024-02-27 16:57:00,101.0
ORD_00296,2024-01-06 12:45:00,2024-01-06 13:10:00,25.0
ORD_00297,2024-02-20 09:46:00,2024-02-20 10:08:00,22.0
ORD_00298,2024-02-06 18:49:00,2024-02-06 19:17:00,28.0
ORD_00299,2024-01-02 09:25:00,2024-01-02 09:53:00,28.0
ORD_00300,2024-02-19 09:00:00,2024-02-19 09:56:00,56.0
ORD_00301,2024-01-31 14:45:00,2024-01-31 15:03:00,18.0
ORD_00302,2024-01-10 15:16:00,2024-01-10 15:49:00,33.0
ORD_00303,2024-01-04 14:37:00,2024-01-04 14:50:00,13.0
ORD_00304,2024-02-19 16:40:00,2024-02-19 17:55:00,75.0
ORD_00305,2024-01-30 11:33:00,2024-01-30 13:07:00,94.0
ORD_00306,2024-02-03 18:10:00,2024-02-03 18:27:00,17.0
ORD_00307,2024-02-11 13:28:00,2024-02-11 14:43:00,75.0
ORD_00308,2024-02-08 17:44:00,2024-02-08 18:00:00,16.0
ORD_00309,2024-02-14 11:29:00,2024-02-14 11:44:00,15.0
ORD_00310,2024-02-22 15:28:00,2024-02-22 15:42:00,14.0
ORD_00311,2024-02-28 11:12:00,2024-02-28 11:37:00,25.0
ORD_00312,2024-01-23 17:21:00,2024-01-23 17:44:00,23.0
ORD_00313,2024-01-19 15:49:00,2024-01-19 16:12:00,23.0
ORD_00314,2024-02-17 13:01:00,2024-02-17 13:50:00,49.0
ORD_00315,2024-02-18 14:57:00,2024-02-18 15:55:00,58.0
ORD_00316,2024-02-05 13:18:00,2024-02-05 13:52:00,34.0
ORD_00317,2024-01-14 16:09:00,2024-01-14 16:36:00,27.0
ORD_00318,2024-01-03 13:44:00,2024-01-03 14:05:00,21.0
ORD_00319,2024-01-23 16:25:00,2024-01-23 16:56:00,31.0
ORD_00320,2024-01-25 17:29:00,2024-01-25 17:45:00,16.0
ORD_00321,2024-02-12 14:44:00,2024-02-12 15:57:00,73.0
ORD_00322,2024-01-21 15:03:00,2024-01-21 15:23:00,20.0
ORD_00323,2024-02-24 18:06:00,2024-02-24 18:44:00,38.0
ORD_00324,2024-01-04 09:43:00,2024-01-04 09:58:00,15.0
ORD_00325,2024-01-27 15:36:00,2024-01-27 15:47:00,11.0
ORD_00326,2024-01-03 15:04:00,2024-01-03 16:00:00,56.0
ORD_00327,2024-01-24 13:49:00,2024-01-24 14:01:00,12.0
ORD_00328,2024-01-03 12:51:00,2024-01-03 13:16:00,25.0
ORD_00329,2024-01-15 12:05:00,2024-01-15 12:46:00,41.0
ORD_00330,2024-01-19 13:04:00,2024-01-19 13:26:00,22.0
ORD_00331,2024-01-14 14:29:00,2024-01-14 14:50:00,21.0
ORD_00332,2024-02-26 16:46:00,2024-02-26 17:23:00,37.0
ORD_00333,2024-01-18 18:53:00,2024-01-18 19:08:00,15.0
ORD_00334,2024-01-17 14:33:00,2024-01-17 15:05:00,32.0
ORD_00335,2024-02-07 12:36:00,2024-02-07 13:16:00,40.0
ORD_00336,2024-01-09 18:01:00,2024-01-09 18:18:00,17.0
ORD_00337,2024-01-29 12:18:00,2024-01-29 12:41:00,23.0
ORD_00338,2024-01-29 12:42:00,2024-01-29 12:59:00,17.0
ORD_00339,2024-01-16 17:42:00,2024-01-16 17:52:00,10.0
ORD_00340,2024-01-14 15:11:00,2024-01-14 16:27:00,76.0
ORD_00341,2024-01-12 14:17:00,2024-01-12 15:03:00,46.0
ORD_00342,2024-02-27 13:41:00,2024-02-27 14:07:00,26.0
ORD_00343,2024-01-07 13:21:00,2024-01-07 14:37:00,76.0
ORD_00344,2024-02-11 10:01:00,2024-02-11 10:39:00,38.0
ORD_00345,2024-02-27 09:52:00,2024-02-27 11:03:00,71.0
ORD_00346,2024-01-07 12:36:00,2024-01-07 12:58:00,22.0
ORD_00347,2024-01-09 18:26:00,2024-01-09 18:45:00,19.0
ORD_00348,2024-02-13 09:29:00,2024-02-13 10:52:00,83.0
ORD_00349,2024-01-21 17:43:00,2024-01-21 18:05:00,22.0
ORD_00350,2024-01-14 13:04:00,2024-01-14 13:24:00,20.0
ORD_00351,2024-02-15 17:50:00,2024-02-15 18:18:00,28.0
ORD_00352,2024-01-29 17:12:00,2024-01-29 17:34:00,22.0
ORD_00353,2024-01-28 15:14:00,2024-01-28 15:52:00,38.0
ORD_00354,2024-02-02 13:29:00,2024-02-02 13:52:00,23.0
ORD_00355,2024-02-16 12:22:00,2024-02-16 12:46:00,24.0
ORD_00356,2024-01-19 10:55:00,2024-01-19 11:17:00,22.0
ORD_00357,2024-01-13 12:56:00,2024-01-13 13:16:00,20.0
ORD_00358,2024-01-09 09:50:00,2024-01-09 10:12:00,22.0
ORD_00359,2024-01-23 10:58:00,2024-01-23 11:53:00,55.0
ORD_00360,2024-01-04 16:44:00,2024-01-04 17:11:00,27.0
ORD_00361,2024-01-23 18:29:00,2024-01-23 18:56:00,27.0
ORD_00362,2024-01-16 14:21:00,2024-01-16 14:50:00,29.0
ORD_00363,2024-01-19 13:09:00,2024-01-19 13:51:00,42.0
ORD_00364,2024-01-07 17:14:00,2024-01-07 17:33:00,19.0
ORD_00365,2024-01-25 17:56:00,2024-01-25 18:59:00,63.0
ORD_00366,2024-02-06 18:22:00,2024-02-06 18:47:00,25.0
ORD_00367,2024-02-21 17:43:00,2024-02-21 18:05:00,22.0
ORD_00368,2024-02-27 10:19:00,2024-02-27 10:45:00,26.0
ORD_00369,2024-01-03 15:26:00,2024-01-03 15:41:00,15.0
ORD_00370,2024-01-30 09:21:00,2024-01-30 09:36:00,15.0
ORD_00371,2024-02-14 11:26:00,2024-02-14 11:48:00,22.0
ORD_00372,2024-01-07 14:26:00,2024-01-07 14:56:00,30.0
ORD_00373,2024-02-10 15:39:00,2024-02-10 16:07:00,28.0
ORD_00374,2024-02-27 14:21:00,2024-02-27 14:44:00,23.0
ORD_00375,2024-01-09 13:39:00,2024-01-09 14:04:00,25.0
