order_id,user_id,order_amount,promised_time_mins,order_date,actual_delivery_mins,rating,city,signup_date
ORD_00066,U_03612,152,60,2024-01-08,42.0,3.0,Gurgaon,2023-11-26
ORD_00067,U_03705,3776,30,2024-01-31,23.0,4.0,Delhi,2023-12-09
ORD_00068,U_00723,662,60,2024-02-07,47.0,3.0,Gurgaon,2023-12-13
ORD_00069,U_00337,782,60,2024-02-23,25.0,4.0,Hyderabad,2023-12-02
ORD_00070,U_02605,209,30,2024-01-17,25.0,3.0,Hyderabad,2023-11-24
ORD_00071,U_01280,768,30,2024-02-10,14.0,5.0,Mumbai,2024-01-19
ORD_00072,U_03417,517,30,2024-01-18,72.0,3.0,Bangalore,2023-11-14
ORD_00073,U_01190,450,30,2024-02-18,18.0,4.0,Bangalore,2023-12-16
ORD_00074,U_01502,1051,30,2024-01-26,11.0,,Mumbai,2024-01-26
ORD_00075,U_00173,4467,30,2024-01-09,26.0,5.0,Chennai,2024-01-25
ORD_00076,U_03506,1300,60,2024-02-09,38.0,3.0,Delhi,2023-12-22
ORD_00077,U_04404,263,30,2024-01-17,12.0,2.0,Delhi,2023-12-07
ORD_00078,U_01311,943,45,2024-01-11,38.0,1.0,Delhi,2024-01-03
ORD_00079,U_01426,619,60,2024-01-06,52.0,2.0,Chennai,2023-12-25
ORD_00080,U_00149,1436,30,2024-02-05,11.0,,Hyderabad,2023-12-15
ORD_00081,U_01400,961,45,2024-02-02,10.0,4.0,Hyderabad,2023-12-06
ORD_00082,U_02220,1790,45,2024-02-08,22.0,4.0,Mumbai,2023-12-09
ORD_00083,U_04761,1138,30,2024-02-14,21.0,4.0,Gurgaon,2024-01-17
ORD_00084,U_04096,1796,30,2024-01-13,26.0,5.0,Delhi,2023-11-04
ORD_00085,U_00595,2419,30,2024-01-03,23.0,5.0,Bangalore,2023-12-22
ORD_00086,U_04027,200,60,2024-02-11,46.0,5.0,Chennai,2023-11-05
ORD_00087,U_00214,1502,60,2024-02-17,32.0,,Hyderabad,2024-01-26
ORD_00088,U_04127,402,30,2024-01-28,25.0,5.0,Delhi,2023-11-07
ORD_00089,U_04592,1508,45,2024-01-02,54.0,4.0,Gurgaon,2023-11-17
ORD_00090,U_04947,1493,45,2024-01-17,50.0,,Gurgaon,2024-01-11
ORD_00091,U_01832,1758,45,2024-01-01,27.0,5.0,Gurgaon,2023-12-05
ORD_00092,U_04840,1319,30,2024-01-16,19.0,4.0,Chennai,2023-12-25
ORD_00093,U_03726,1450,30,2024-02-28,23.0,,Chennai,2024-01-26
ORD_00094,U_02962,1150,30,2024-01-13,23.0,,Chennai,2024-01-23
ORD_00095,U_01861,125,45,2024-02-18,19.0,,Delhi,2023-12-19
ORD_00096,U_00620,1621,45,2024-02-13,32.0,,Hyderabad,2024-01-29
ORD_00097,U_04743,1032,30,2024-02-15,23.0,,Chennai,2024-01-29
ORD_00098,U_00503,4439,30,2024-01-17,24.0,,Hyderabad,2024-01-03
ORD_00099,U_00231,1072,30,2024-01-09,21.0,,Hyderabad,2023-11-04
ORD_00100,U_02554,4160,30,2024-01-30,17.0,,Bangalore,2023-12-29
ORD_00101,U_03235,2124,30,2024-01-14,26.0,4.0,Bangalore,2023-12-12
ORD_00102,U_04404,181,30,2024-02-24,22.0,4.0,Delhi,2023-12-07
ORD_00103,U_00533,1726,60,2024-02-27,40.0,4.0,Delhi,2023-12-05
ORD_00104,U_04394,1177,30,2024-02-23,23.0,5.0,Mumbai,2024-01-15
ORD_00105,U_02501,671,60,2024-02-05,41.0,2.0,Mumbai,2023-12-14
ORD_00106,U_03708,2635,30,2024-01-12,15.0,5.0,Chennai,2023-11-05
ORD_00107,U_01406,1140,30,2024-02-16,13.0,4.0,Bangalore,2023-12-15
ORD_00108,U_03047,1358,60,2024-02-20,16.0,4.0,Gurgaon,2023-12-18
ORD_00109,U_00358,659,30,2024-02-23,12.0,,Delhi,2023-11-20
ORD_00110,U_00974,594,30,2024-01-19,24.0,,Bangalore,2023-12-07
ORD_00111,U_00098,833,60,2024-02-19,26.0,1.0,Gurgaon,2023-11-25
ORD_00112,U_02002,573,30,2024-02-15,24.0,,Delhi,2023-12-09
ORD_00113,U_03830,4202,30,2024-01-11,26.0,,Mumbai,2023-12-24
ORD_00114,U_03156,697,30,2024-01-22,15.0,5.0,Bangalore,2024-01-01
ORD_00115,U_01062,938,60,2024-02-04,33.0,,Chennai,2023-12-05
ORD_00116,U_02464,724,30,2024-02-16,12.0,4.0,Gurgaon,2023-12-17
ORD_00117,U_01696,874,30,2024-01-24,14.0,3.0,Hyderabad,2023-11-23
ORD_00118,U_02667,233,60,2024-01-20,14.0,5.0,Chennai,2023-12-21
ORD_00119,U_01632,379,30,2024-02-08,73.0,,Bangalore,2023-11-04
ORD_00120,U_03154,173,30,2024-02-19,39.0,5.0,Gurgaon,2024-01-18
ORD_00121,U_04560,339,45,2024-01-01,84.0,3.0,Bangalore,2023-11-16
ORD_00122,U_01787,1280,30,2024-01-03,28.0,5.0,Chennai,2023-11-27
ORD_00123,U_00141,1672,45,2024-02-26,27.0,,Hyderabad,2023-12-25
ORD_00124,U_02758,306,45,2024-02-18,24.0,5.0,Bangalore,2023-11-03
ORD_00125,U_02801,645,30,2024-02-05,12.0,3.0,Chennai,2023-11-02
ORD_00126,U_01061,2169,30,2024-01-14,27.0,4.0,Mumbai,2023-11-01
ORD_00127,U_00196,3190,30,2024-01-12,16.0,5.0,Hyderabad,2023-11-05
ORD_00128,U_03016,507,30,2024-02-24,11.0,,Chennai,2023-12-20
ORD_00129,U_01362,1750,45,2024-02-19,55.0,5.0,Bangalore,2023-12-07
ORD_00130,U_03705,2738,30,2024-01-15,22.0,,Delhi,2023-12-09
ORD_00131,U_03490,933,30,2024-01-27,19.0,3.0,Chennai,2023-12-04
ORD_00132,U_04891,2868,30,2024-01-08,19.0,5.0,Gurgaon,2023-11-15
ORD_00133,U_02988,370,30,2024-02-12,66.0,2.0,Chennai,2024-01-29
ORD_00134,U_00940,1418,45,2024-01-17,39.0,,Mumbai,2024-01-09
ORD_00135,U_02649,543,30,2024-01-27,46.0,,Bangalore,2024-01-11
ORD_00136,U_01789,1254,30,2024-02-08,51.0,5.0,Gurgaon,2024-01-01
ORD_00137,U_01328,4461,30,2024-01-26,22.0,,Chennai,2023-11-14
ORD_00138,U_02102,674,45,2024-01-09,12.0,3.0,Delhi,2023-12-27
ORD_00139,U_04510,241,45,2024-02-12,33.0,,Chennai,2023-12-03
ORD_00140,U_04750,2060,30,2024-01-14,19.0,5.0,Chennai,2023-11-20
ORD_00141,U_03434,1605,60,2024-01-18,49.0,,Bangalore,2024-01-05
ORD_00142,U_02654,367,60,2024-01-23,52.0,5.0,Mumbai,2023-12-09
ORD_00143,U_04138,4993,30,2024-01-14,15.0,,Hyderabad,2023-12-30
ORD_00144,U_02806,696,45,2024-01-20,30.0,1.0,Chennai,2024-01-29
ORD_00145,U_03484,3317,30,2024-01-05,15.0,,Gurgaon,2023-11-06
ORD_00146,U_04270,1267,45,2024-02-02,24.0,5.0,Chennai,2024-01-09
ORD_00147,U_02500,927,30,2024-02-20,21.0,2.0,Delhi,2023-12-26
ORD_00148,U_02080,1091,45,2024-02-10,27.0,5.0,Bangalore,2024-01-04
ORD_00149,U_01952,4695,30,2024-01-23,21.0,4.0,Gurgaon,2024-01-03
ORD_00150,U_01518,1131,30,2024-01-26,25.0,5.0,Bangalore,2023-11-18
ORD_00151,U_01007,1264,60,2024-01-30,33.0,5.0,Hyderabad,2023-12-14
ORD_00152,U_03581,323,60,2024-01-03,31.0,4.0,Bangalore,2023-12-23
ORD_00153,U_02275,1513,30,2024-02-20,15.0,1.0,Mumbai,2024-01-11
ORD_00154,U_03439,720,45,2024-01-14,35.0,5.0,Hyderabad,2023-12-22
ORD_00155,U_00799,221,45,2024-02-05,16.0,2.0,Chennai,2024-01-15
ORD_00156,U_03618,953,60,2024-01-24,76.0,,Gurgaon,2023-11-11
ORD_00157,U_01963,178,30,2024-01-30,17.0,,Gurgaon,2024-01-15
ORD_00158,U_00428,1383,30,2024-02-10,23.0,4.0,Gurgaon,2023-12-15
ORD_00159,U_02369,904,45,2024-02-03,13.0,4.0,Mumbai,2023-12-05
ORD_00160,U_00408,1441,60,2024-01-09,45.0,,Mumbai,2023-12-17
ORD_00161,U_01828,1325,30,2024-01-05,11.0,,Bangalore,2023-12-12
ORD_00162,U_04162,1313,45,2024-02-09,30.0,5.0,Mumbai,2024-01-24
ORD_00163,U_01214,477,30,2024-01-19,24.0,,Chennai,2023-11-01
ORD_00164,U_01507,1131,30,2024-02-06,16.0,2.0,Mumbai,2024-01-01
ORD_00165,U_01782,826,60,2024-01-22,55.0,4.0,Chennai,2023-12-15
ORD_00166,U_02406,1435,30,2024-01-14,23.0,1.0,Bangalore,2024-01-10
ORD_00167,U_01420,2042,30,2024-01-19,23.0,5.0,Hyderabad,2023-11-20
ORD_00168,U_04139,801,60,2024-01-11,38.0,,Mumbai,2023-11-11
ORD_00169,U_04360,325,60,2024-02-21,56.0,3.0,Delhi,2023-12-28
ORD_00170,U_03295,1105,30,2024-02-16,13.0,3.0,Hyderabad,2023-11-07
ORD_00171,U_00127,451,45,2024-01-28,24.0,3.0,Gurgaon,2023-11-20
ORD_00172,U_02675,272,60,2024-01-27,52.0,2.0,Mumbai,2024-01-07
ORD_00173,U_00383,521,30,2024-01-28,11.0,,Bangalore,2023-11-14
ORD_00174,U_02060,344,60,2024-01-08,70.0,3.0,Mumbai,2023-11-09
ORD_00175,U_01378,1459,60,2024-01-21,81.0,5.0,Hyderabad,2024-01-28
ORD_00176,U_00741,3584,30,2024-01-09,25.0,,Chennai,2023-12-16
ORD_00177,U_03095,4944,30,2024-01-23,23.0,,Mumbai,2024-01-23
ORD_00178,U_03081,124,30,2024-01-08,19.0,1.0,Chennai,2024-01-28
ORD_00179,U_03869,1550,30,2024-01-11,26.0,5.0,Bangalore,2024-01-15
ORD_00180,U_03858,954,30,2024-02-24,41.0,2.0,Delhi,2023-11-16
ORD_00181,U_01374,1764,45,2024-01-24,39.0,,Chennai,2023-12-08
ORD_00182,U_02967,134,30,2024-02-27,63.0,4.0,Bangalore,2024-01-15
ORD_00183,U_03078,4312,30,2024-01-10,26.0,5.0,Gurgaon,2024-01-28
ORD_00184,U_02683,4304,30,2024-01-05,23.0,5.0,Bangalore,2023-11-20
ORD_00185,U_03585,623,60,2024-01-28,14.0,1.0,Gurgaon,2023-12-28
ORD_00186,U_03599,1770,30,2024-02-25,28.0,,Delhi,2023-12-04
ORD_00187,U_00119,1031,60,2024-01-21,23.0,2.0,Hyderabad,2024-01-24
ORD_00188,U_01456,918,60,2024-01-27,57.0,,Hyderabad,2023-11-04
ORD_00189,U_03677,1218,30,2024-01-07,19.0,5.0,Chennai,2023-11-05
ORD_00190,U_03726,1109,30,2024-02-01,14.0,5.0,Chennai,2024-01-26
ORD_00191,U_00420,157,30,2024-02-08,13.0,,Bangalore,2023-11-19
ORD_00192,U_02289,1753,45,2024-02-06,65.0,3.0,Delhi,2023-11-06
ORD_00193,U_02854,1058,30,2024-01-16,20.0,4.0,Mumbai,2023-12-17
ORD_00194,U_02010,1001,30,2024-01-22,16.0,3.0,Bangalore,2024-01-05
ORD_00195,U_04289,1372,60,2024-02-06,70.0,3.0,Mumbai,2023-11-06
ORD_00196,U_00653,761,60,2024-02-24,96.0,2.0,Gurgaon,2023-12-04
ORD_00197,U_03218,1781,45,2024-02-22,30.0,,Hyderabad,2023-11-10
ORD_00198,U_02168,1416,30,2024-01-29,29.0,,Bangalore,2024-01-22
ORD_00199,U_00791,1676,60,2024-02-16,83.0,,Hyderabad,2024-01-08
ORD_00200,U_04998,714,60,2024-01-10,14.0,5.0,Hyderabad,2023-12-02
ORD_00201,U_02359,1656,30,2024-01-01,27.0,,Delhi,2023-12-31
ORD_00202,U_02538,1788,60,2024-02-04,51.0,5.0,Bangalore,2023-11-06
ORD_00203,U_01360,1491,60,2024-01-16,89.0,,Gurgaon,2023-11-02
ORD_00204,U_01278,3192,30,2024-01-29,27.0,5.0,Delhi,2023-12-01
ORD_00205,U_03834,2687,30,2024-01-13,16.0,5.0,Mumbai,2023-11-14
ORD_00206,U_04091,1624,45,2024-02-21,37.0,,Hyderabad,2023-12-09
ORD_00207,U_03975,1551,45,2024-02-04,27.0,3.0,Delhi,2023-11-07
ORD_00208,U_02965,3503,30,2024-02-22,18.0,5.0,Bangalore,2023-11-24
ORD_00209,U_02370,1440,60,2024-02-21,44.0,,Bangalore,2023-12-08
ORD_00210,U_00217,4110,30,2024-01-01,15.0,,Delhi,2023-12-28
ORD_00211,U_00035,501,60,2024-01-15,49.0,3.0,Mumbai,2024-01-01
ORD_00212,U_03459,1482,30,2024-02-10,15.0,,Hyderabad,2023-12-30
ORD_00213,U_04934,1593,60,2024-01-28,24.0,3.0,Mumbai,2024-01-28
ORD_00214,U_03587,710,30,2024-02-17,29.0,3.0,Chennai,2023-11-29
ORD_00215,U_02331,1238,60,2024-01-14,13.0,,Chennai,2023-11-11
ORD_00216,U_01683,3197,30,2024-01-04,21.0,4.0,Hyderabad,2023-12-08
ORD_00217,U_01834,1158,45,2024-02-10,19.0,1.0,Chennai,2023-11-20
ORD_00218,U_01611,686,30,2024-02-17,27.0,,Hyderabad,2023-12-13
ORD_00219,U_04940,1086,60,2024-02-08,35.0,4.0,Mumbai,2023-11-22
ORD_00220,U_02960,127,45,2024-01-24,50.0,3.0,Bangalore,2024-01-14
ORD_00221,U_03731,1200,30,2024-02-10,13.0,,Gurgaon,2024-01-24
ORD_00222,U_01997,1583,30,2024-02-10,17.0,,Gurgaon,2023-12-06
ORD_00223,U_00599,1426,30,2024-02-04,15.0,4.0,Bangalore,2024-01-14
ORD_00224,U_01914,1209,45,2024-02-22,68.0,,Delhi,2024-01-13
ORD_00225,U_02738,561,30,2024-02-08,21.0,,Chennai,2023-11-21
ORD_00226,U_01775,289,45,2024-02-02,16.0,4.0,Gurgaon,2024-01-13
ORD_00227,U_02389,4020,30,2024-01-24,15.0,5.0,Chennai,2023-12-23
ORD_00228,U_02320,3317,30,2024-01-17,22.0,5.0,Mumbai,2023-11-06
ORD_00229,U_01832,1171,30,2024-01-10,17.0,,Gurgaon,2023-12-05
ORD_00230,U_01610,943,60,2024-01-03,24.0,5.0,Delhi,2024-01-20
ORD_00231,U_04989,1495,30,2024-01-03,16.0,4.0,Delhi,2023-11-11
ORD_00232,U_02503,3423,30,2024-01-28,21.0,5.0,Gurgaon,2023-11-04
ORD_00233,U_00788,1377,30,2024-01-24,15.0,4.0,Hyderabad,2023-12-18
ORD_00234,U_04994,3983,30,2024-01-21,20.0,5.0,Chennai,2024-01-11
ORD_00235,U_02559,1700,30,2024-01-18,20.0,,Mumbai,2023-11-13
ORD_00236,U_02534,550,30,2024-01-07,12.0,,Bangalore,2024-01-22
ORD_00237,U_01155,2228,30,2024-01-25,23.0,,Chennai,2024-01-17
ORD_00238,U_01287,396,45,2024-01-27,12.0,4.0,Chennai,2024-01-27
ORD_00239,U_03592,1299,30,2024-01-30,21.0,4.0,Delhi,2023-12-02
ORD_00240,U_02348,1710,30,2024-01-05,14.0,4.0,Delhi,2023-12-11
ORD_00241,U_01594,995,45,2024-02-02,74.0,,Mumbai,2023-12-30
ORD_00242,U_00940,1402,30,2024-02-04,14.0,,Mumbai,2024-01-09
ORD_00243,U_01850,1190,45,2024-01-11,66.0,3.0,Mumbai,2024-01-08
ORD_00244,U_02945,251,30,2024-02-01,48.0,4.0,Mumbai,2023-11-17
ORD_00245,U_04330,515,45,2024-02-23,54.0,4.0,Bangalore,2023-12-11
ORD_00246,U_02252,4091,30,2024-01-04,25.0,5.0,Mumbai,2023-12-24
ORD_00247,U_03667,575,60,2024-01-27,38.0,1.0,Mumbai,2024-01-04
ORD_00248,U_03577,442,60,2024-01-05,45.0,4.0,Delhi,2023-11-24
ORD_00249,U_00097,169,30,2024-02-05,18.0,4.0,Bangalore,2023-11-28
ORD_00250,U_04709,374,45,2024-01-23,41.0,5.0,Chennai,2023-12-04
ORD_00251,U_03441,1481,45,2024-02-02,28.0,1.0,Delhi,2023-12-18
ORD_00252,U_02413,1482,45,2024-01-20,40.0,,Delhi,2023-12-15
ORD_00253,U_02487,1779,45,2024-02-02,77.0,4.0,Hyderabad,2024-01-14
ORD_00254,U_02823,568,45,2024-01-13,33.0,5.0,Gurgaon,2023-12-21
ORD_00255,U_02491,365,30,2024-01-13,11.0,1.0,Bangalore,2023-12-04
ORD_00256,U_04867,179,30,2024-02-14,23.0,1.0,Chennai,2023-12-01
ORD_00257,U_01283,1322,30,2024-02-21,27.0,1.0,Delhi,2023-11-05
ORD_00258,U_03232,4061,30,2024-01-14,23.0,,Hyderabad,2023-11-29
ORD_00259,U_00522,1454,30,2024-02-19,25.0,5.0,Mumbai,2023-12-26
ORD_00260,U_02629,639,30,2024-01-08,27.0,4.0,Mumbai,2024-01-01
ORD_00261,U_04971,199,60,2024-01-01,19.0,3.0,Gurgaon,2024-01-23
ORD_00262,U_02897,3632,30,2024-01-28,17.0,,Hyderabad,2023-12-21
ORD_00263,U_01312,547,60,2024-02-28,23.0,,Mumbai,2024-01-19
ORD_00264,U_00558,1621,60,2024-02-21,11.0,,Bangalore,2023-11-11
ORD_00265,U_01083,239,60,2024-02-23,43.0,5.0,Gurgaon,2024-01-25
ORD_00266,U_00089,750,45,2024-02-18,76.0,5.0,Hyderabad,2023-11-16
ORD_00267,U_03684,984,60,2024-01-10,34.0,2.0,Chennai,2023-12-05
ORD_00268,U_00434,473,45,2024-02-08,12.0,5.0,Delhi,2023-12-25
ORD_00269,U_00291,1437,30,2024-02-12,23.0,,Delhi,2024-01-21
ORD_00270,U_02612,390,30,2024-01-29,35.0,1.0,Mumbai,2023-12-14
ORD_00271,U_02699,755,60,2024-01-29,47.0,4.0,Mumbai,2023-12-30
ORD_00272,U_04135,997,60,2024-01-23,47.0,5.0,Mumbai,2024-01-09
ORD_00273,U_02394,1780,60,2024-02-22,15.0,3.0,Delhi,2023-11-09
ORD_00274,U_00645,1018,45,2024-01-30,20.0,5.0,Mumbai,2023-12-28
ORD_00275,U_01459,1440,60,2024-01-26,42.0,4.0,Hyderabad,2023-12-18
ORD_00276,U_03464,1610,60,2024-01-05,42.0,,Mumbai,2023-11-12
ORD_00277,U_01327,768,30,2024-02-23,12.0,,Hyderabad,2024-01-24
ORD_00278,U_02656,380,45,2024-01-13,13.0,4.0,Bangalore,2023-11-09
ORD_00279,U_01046,797,45,2024-02-05,35.0,4.0,Gurgaon,2024-01-11
ORD_00280,U_03431,3347,30,2024-01-28,15.0,4.0,Mumbai,2023-12-06
ORD_00281,U_04658,504,60,2024-02-19,66.0,4.0,Hyderabad,2023-12-11
ORD_00282,U_02638,562,30,2024-01-21,25.0,4.0,Gurgaon,2023-11-16
ORD_00283,U_04068,983,30,2024-02-14,13.0,,Hyderabad,2023-11-15
ORD_00284,U_01771,4916,30,2024-01-16,16.0,4.0,Bangalore,2023-12-13
ORD_00285,U_01954,269,30,2024-01-16,20.0,4.0,Delhi,2024-01-25
ORD_00286,U_00651,241,30,2024-02-14,28.0,,Mumbai,2023-11-21
ORD_00287,U_01245,332,45,2024-02-05,15.0,5.0,Mumbai,2023-12-10
ORD_00288,U_03687,174,30,2024-02-13,20.0,,Hyderabad,2023-11-23
ORD_00289,U_00143,1012,45,2024-02-15,10.0,,Gurgaon,2024-01-13
ORD_00290,U_02689,291,45,2024-01-06,14.0,3.0,Gurgaon,2024-01-06
ORD_00291,U_02308,1689,60,2024-01-19,22.0,5.0,Delhi,2023-11-25
ORD_00292,U_00606,1687,60,2024-01-28,23.0,,Bangalore,2024-01-19
ORD_00293,U_02510,845,30,2024-02-15,26.0,4.0,Mumbai,2023-12-20
ORD_00294,U_04785,1697,60,2024-01-07,50.0,,Gurgaon,2024-01-12
ORD_00295,U_02656,762,60,2024-02-27,101.0,4.0,Bangalore,2023-11-09
ORD_00296,U_03063,1520,45,2024-01-06,25.0,,Hyderabad,2024-01-29
ORD_00297,U_02865,1277,30,2024-02-20,22.0,3.0,Bangalore,2024-01-18
ORD_00298,U_00818,714,30,2024-02-06,28.0,4.0,Bangalore,2024-01-23
ORD_00299,U_04321,1577,30,2024-01-02,28.0,5.0,Delhi,2024-01-02
ORD_00300,U_04990,935,30,2024-02-19,56.0,,Chennai,2023-11-02
ORD_00301,U_03943,117,45,2024-01-31,18.0,,Bangalore,2024-01-01
ORD_00302,U_00947,4761,30,2024-01-10,33.0,5.0,Chennai,2023-12-06
ORD_00303,U_04561,1383,30,2024-01-04,13.0,4.0,Bangalore,2023-12-10
ORD_00304,U_01721,767,60,2024-02-19,75.0,1.0,Gurgaon,2023-11-11
ORD_00305,U_02868,1198,60,2024-01-30,94.0,,Mumbai,2023-12-03
ORD_00306,U_04329,1023,30,2024-02-03,17.0,4.0,Gurgaon,2023-12-29
ORD_00307,U_00768,587,45,2024-02-11,75.0,4.0,Hyderabad,2023-11-28
ORD_00308,U_03115,973,60,2024-02-08,16.0,,Bangalore,2024-01-20
ORD_00309,U_00440,1338,30,2024-02-14,15.0,5.0,Chennai,2023-12-25
ORD_00310,U_00134,1111,30,2024-02-22,14.0,5.0,Bangalore,2023-12-09
ORD_00311,U_04569,1320,30,2024-02-28,25.0,,Delhi,2023-11-06
ORD_00312,U_02548,1725,30,2024-01-23,23.0,2.0,Mumbai,2023-11-29
ORD_00313,U_04031,724,45,2024-01-19,23.0,5.0,Chennai,2023-12-08
ORD_00314,U_02563,1473,60,2024-02-17,49.0,,Mumbai,2023-11-19
ORD_00315,U_03511,1699,45,2024-02-18,58.0,1.0,Bangalore,2023-12-01
ORD_00316,U_04218,536,60,2024-02-05,34.0,3.0,Chennai,2023-11-28
ORD_00317,U_00170,2205,30,2024-01-14,27.0,,Delhi,2023-12-14
ORD_00318,U_03595,960,30,2024-01-03,21.0,2.0,Chennai,2023-12-23
